transaction_id,user_id,amount,transaction_type,timestamp
TXN0001,USR117,1496.02,payment,2026-03-21 03:01:00
TXN0002,USR175,1494.3,payment,2026-03-24 03:43:00
TXN0003,USR177,232.71,payment,2026-03-14 01:01:00
TXN0004,USR153,1446.24,payment,2026-03-01 17:12:00
TXN0005,USR197,592.47,refund,2026-03-08 14:37:00
TXN0006,USR127,874.1,payment,2026-03-26 05:44:00
TXN0007,USR144,230.85,payment,2026-03-25 10:06:00
TXN0008,USR115,134.73,payment,2026-03-20 08:51:00
TXN0009,USR146,621.7,payment,2026-03-13 02:35:00
TXN0010,USR198,185.63,payment,2026-03-19 06:45:00
TXN0011,USR135,503.94,payment,2026-03-10 02:54:00
TXN0012,USR126,761.42,payment,2026-03-15 20:53:00
TXN0013,USR177,1876.48,payment,2026-03-22 08:44:00
TXN0014,USR148,1471.8,payment,2026-03-21 05:34:00
TXN0015,USR198,1136.05,payment,2026-03-09 20:44:00
TXN0016,USR151,1652.52,payment,2026-03-25 01:14:00
TXN0017,USR191,1830.62,payment,2026-03-09 02:13:00
TXN0018,USR182,1023.5,refund,2026-03-11 06:41:00
TXN0019,USR168,322.28,payment,2026-03-15 04:16:00
TXN0020,USR146,885.45,payment,2026-03-09 23:37:00
TXN0021,USR114,1012.36,payment,2026-03-08 04:32:00
TXN0022,USR108,1594.55,payment,2026-03-05 20:10:00
TXN0023,USR170,1992.44,payment,2026-03-13 12:38:00
TXN0024,USR168,1455.41,payment,2026-03-28 00:43:00
TXN0025,USR155,1299.88,payment,2026-03-25 08:49:00
TXN0026,USR133,1909.94,refund,2026-03-06 14:00:00
TXN0027,USR138,1829.62,refund,2026-03-17 05:32:00
TXN0028,USR197,1237.49,payment,2026-03-27 20:32:00
TXN0029,USR176,1848.75,refund,2026-03-06 17:49:00
TXN0030,USR139,268.14,payment,2026-03-11 15:01:00
